req_datetime,participant,idx_start,idx_stop,Tags,AccX_max,AccX_min,AccX_mean,AccX_std,AccY_max,AccY_min,AccY_mean,AccY_std,AccZ_max,AccZ_min,AccZ_mean,AccZ_std,Alt_max,Alt_min,Alt_mean,Lat_max,Lat_min,Lng_max,Lng_min,Spd_max,Spd_min,Spd_mean,Lght_max,Lght_min,Lght_mean,Lght_med,HR_max,HR_min,HR_mean,SCR_max,SCR_min,SCR_mean,SCR_std,T_max,T_min,T_mean
05082020_113414,4,40057,52733,"['Large curve R', 'Speed Bump']",3.7158010000000004,-2.0302830000000003,0.3319048066407311,1.2269798386678243,13.024457,7.680599000000001,10.003151497199447,0.5389331675387725,2.566584,-2.5091232999999997,-0.09703732055380386,0.6718243698992259,571,548,562.0979804354686,48.72899768,48.72216555,9.076207105,9.064314604,25.707031,12.096117999999999,20.624269369240814,3135.4553,33.45904,796.1060397465262,704.9898,116.12100000000001,46.092,69.63555112022483,2.9419999999999997,2.274,2.564675607447146,0.16988459415486457,35.038000000000004,34.093,34.5989830388134
05082020_114304,5,73251,75428,"['Large curve R', 'Speed Bump', 'Gallery', 'Traffic Jam']",1.5131354,-4.999093,-2.904293131860366,1.4133030306183034,13.694834,8.542512,9.981900889067457,0.66195225972647,4.501099,-1.4939818,0.7475892037106158,0.7386771862030569,462,454,458.93385392742306,48.7049007,48.70408816,9.167608834,9.166011476,16.245638,13.246688,14.620789318787656,1516.4031,504.0134,1011.0324587827221,1079.8401,116.811,81.377,100.12323197060356,7.385,6.162000000000001,6.62318144235185,0.3616213142053222,34.719,34.623000000000005,34.689178226917626
05082020_135021,1,92067,94369,['Large curve L'],0.59376204,-4.098873,-2.2291494542389154,1.2880361412268722,12.756307000000001,7.891288799999999,9.981021283449154,0.7257564465764814,1.7429788,-0.9576806999999999,0.5505707077927903,0.5177514211614024,452,448,450.16550825369245,48.70504201,48.70410129,9.167512602,9.166034436,16.046988,13.398222,14.54484782297999,418.6546,229.74025,336.23585188097434,335.6128,121.26100000000001,58.964,89.55509904431064,8.854,7.832000000000001,8.217117723718504,0.2814919889331983,33.672,33.589,33.629537358818375
05082020_135153,3,111832,120537,['Large curve R'],5.114014599999999,-1.4939818,0.5190970311362398,1.06849138471958,12.488156,8.197746,9.997611910511457,0.33397404008796666,5.4970870000000005,-3.5625722,-0.21566462593601382,1.0966327748019216,479,467,471.0322802986789,48.725249700000006,48.72402847,9.166862267,9.165154563,16.49997,1.177856,4.776829241115614,742.1173,383.8263,569.0465526479016,567.3877,110.98899999999999,57.42100000000001,75.85546927053186,5.484,4.362,4.7097596783458044,0.2574028981044458,36.371,36.15,36.25255037334897
05082020_135846,7,101010,103828,['Large curve L'],0.9768343,-4.0414124,-1.6812359655951006,1.0770526859852143,12.77546,8.504205,10.004663691270514,0.5254668012485728,0.9576806999999999,-1.340753,-0.007143522506742566,0.5264999687624127,463,456,460.7746628814762,48.70500372,48.70406576,9.167567092999999,9.165941424,15.893197,10.977413,12.270439418914345,1804.0848,476.91132000000005,917.4893554684226,815.87366,118.615,53.24100000000001,105.02658268275516,8.461,7.607,7.919599361249144,0.2170269438346202,29.273000000000003,28.881999999999998,29.100182398864444
05082020_140108,10,55714,58537,"['Large curve R', 'HighWay']",4.692635500000001,-0.17238252,2.4752670121824356,1.1880390111279449,11.87524,8.561666,10.063374998760223,0.4382911087696685,2.4516625,-2.183512,-0.19716077206128313,0.9459439573547472,565,552,557.6847325540206,48.72654691,48.72543005,9.066650113,9.064355007,22.361584,13.165595999999999,17.346646291533485,828.86017,356.0881,584.054804902584,609.1759599999999,96.914,83.934,92.7389376549786,6.577000000000001,5.522,5.981371590506569,0.2522337116079854,32.111,31.974,32.04829330499456
05082020_140921,9,82352,84408,"['Large curve R', 'HighWay', 'Traffic Jam']",1.091756,-1.0151415000000001,-0.17154408645573951,0.4127358450187436,11.3964,7.929596000000001,9.877106742461175,0.478709252361644,1.9536686,-0.7086836999999999,0.6156172630909543,0.3983990284401869,461,456,458.6284046692607,48.70682129,48.7060976,9.163016154,9.159044023,21.528856,19.29578,20.286676857490082,437.23657000000003,283.21146,372.02281532587426,371.89300000000003,92.955,78.87,81.84886721789856,3.832,3.66,3.730441147859909,0.03884683131173713,35.848,35.797,35.82032052529184
05082020_141730,8,77620,85175,"['Large curve L', 'Road sign #1', 'Steep descendent', 'Gallery', 'HighWay', 'Traffic Jam']",2.681506,-3.5434184,-0.41220705838027855,1.1744896953957562,13.139379000000002,7.240066000000001,10.042451302991434,0.7667561016960734,2.6431987,-2.6048915,0.05811239119762051,0.8172776635757573,464,446,454.371012574454,48.7074126,48.70408032,9.167533537,9.160899537999999,23.827726000000002,9.805881,16.443410303772353,1504.4768,54.591324,750.219705022358,672.3688,121.375,62.248999999999995,87.42810363996978,7.837000000000001,7.252999999999999,7.498836135009903,0.14366070547360194,28.461,28.144000000000002,28.314125347451917
05082020_142946,5,74401,75689,"['Large curve L', 'Road sign #2', 'Steep descendent', 'HighWay']",0.6895300999999999,-4.999093,-2.629919014130416,1.6079855082771295,11.971008,8.542512,10.081046503105673,0.7589398126292599,2.1643584,-2.4516625,0.4354324177670788,0.9309462675211754,460,450,456.5722049689441,48.70512039,48.70409882,9.167608834,9.166933832,17.99856,13.246688,15.17574525543482,1516.4031,413.72546,1198.4087268012408,1225.255,114.41799999999999,81.377,96.35798602484527,6.75,6.159,6.375108695652176,0.14727908707485565,34.71,34.607,34.66292080745341
05082020_143839,1,35232,36894,"['Large curve R', 'Road sign #2', 'Gallery', 'HighWay']",0.59376204,-1.4748282,-0.29676576577918024,0.40735921546090986,11.492168,7.3166804,9.976405137003693,0.5969321366906226,1.4748282,-1.1109096,0.04093479936522265,0.4178261808640043,548,535,541.5222623345367,48.72927192,48.72869209,9.078214714,9.074383622000001,25.641610999999997,23.399784,24.6643178652222,346.38192999999995,198.51668,292.890150902526,291.1474,94.383,81.055,88.5122250300848,7.593999999999999,7.152,7.434761732851965,0.10231978271058187,32.525999999999996,32.366,32.44426474127559
05082020_144213,3,38616,56921,"['Large curve R', 'HighWay']",2.1068976000000004,-1.6089035,0.37954917747058237,0.626996602588625,11.587936000000001,7.8146744,9.989267082217951,0.36654695302818185,2.1643584,-2.0302830000000003,-0.40920615133423277,0.6387939871349538,575,551,564.3045615951926,48.72935189,48.72065329,9.079131312000001,9.064349063,27.581870000000002,6.2117887000000005,17.492858526637235,2137.8875,23.826384,847.7569788356952,696.68896,146.81799999999998,50.818999999999996,79.48543108440212,6.247000000000001,3.415,4.3768962578530255,0.623109675969652,35.953,35.554,35.786329254302366
05082020_151702,8,34233,42035,"['Large curve R', 'Sharp turn R', 'Road sign #1']",4.462791999999999,-1.8387468999999996,0.7722917669063061,1.4337087467772727,14.269442999999999,7.105990400000001,10.008033176557293,0.8661330363108205,2.2601264,-3.4859576,-0.28987454900243526,0.8484954816874006,569,552,561.5433222250705,48.7278034,48.72458002,9.071816493,9.064349556,25.817663,13.254985999999999,20.045571609266855,3942.2793,18.144745,1181.1893016823892,784.29065,107.984,58.458999999999996,91.238530633171,7.4879999999999995,6.337999999999999,6.754421943091515,0.32457251695071304,26.788,26.405,26.5249606511151
05082020_152021,4,102906,116991,"['Large curve R', 'Sharp turn R', 'Speed Bump', 'Road sign #2']",3.9073372,-2.1260512,0.06731301822406821,0.9222062935016672,12.143391000000001,6.780379300000001,9.989752380234293,0.49325833735889724,3.466804,-4.290409599999999,0.009863055373517914,0.8564538804429526,477,461,472.95349662761805,48.72524547,48.72110594,9.166784717999999,9.16362688,23.957848000000002,1.46217,8.80663956508342,1412.3817,41.903046,462.5529002322329,486.41916,132.667,34.909,65.46723450479233,2.7430000000000003,2.0069999999999997,2.272951224707135,0.201935299213907,35.146,33.396,34.331541924032656
05082020_153412,6,32157,40094,"['Large curve R', 'Steep climb', 'HighWay']",8.025364,-3.5242648,1.0068618077882072,2.283616684739274,12.813767,7.5082164,10.008466547637646,0.7543730669306131,4.0797195,-4.405330999999999,0.5333956811493008,1.218146406738455,570,545,560.8881189366259,48.72901488,48.72541288,9.076444383,9.064239842000001,33.708447,16.5541,24.34943778770316,5075.532999999999,22.545181,553.623968758347,350.50885,188.11900000000003,58.851000000000006,100.40816152198563,16.573,14.882,15.67271147788837,0.4050590723845084,33.986999999999995,33.062,33.55429456973668
05082020_155049,3,95447,100952,"['Large curve R', 'Sharp turn L', 'Road sign #1']",3.4476504,-4.0797195,-0.3337321420307058,1.9058930189801024,11.990162,8.312667999999999,10.056008980563028,0.5099401932187992,1.6280571000000001,-2.3558946,-0.07022295854641404,0.7118861311876373,480,448,463.27175295186197,48.706457,48.70412548,9.167532839,9.162070697999999,23.356544,13.371324,17.78948786448658,1054.5609,65.204926,609.7338535349704,580.9884,144.862,63.406000000000006,83.51124287011861,5.817,4.218999999999999,5.182907356948224,0.3796564843313346,36.61,36.365,36.50812752043598
05082020_155501,1,38049,46628,"['Large curve R', 'Sharp turn L']",4.501099,-1.4748282,0.6650204282762527,1.4100643177983725,12.162544,8.063671000000001,10.054218252884946,0.5674785286727394,2.681506,-1.9536686,0.023033899902436036,0.7219520800898319,571,550,557.8052220538524,48.72796938,48.72542543,9.071672207999999,9.064302798,19.056054999999997,11.869539999999999,17.057051911585937,367.51434,14.431257,229.5651228637373,246.66066,105.28200000000001,63.071000000000005,84.01533570346159,8.773,6.739,7.440954656719904,0.5575931869941053,32.246,31.871,32.07394241753108
05082020_160118,6,95145,96287,"['Large curve R', 'Road sign #2', 'Gallery']",4.309563,-1.2449848999999997,1.6830525088887875,1.587954316710962,12.124236999999999,8.101977999999999,10.006907755253946,0.8681222514348834,2.834735,-0.7469909,1.0628410559807375,0.7621300050117937,473,469,470.01050788091067,48.7252784,48.72451561,9.165975839,9.165188712,14.642129,11.352006,13.564793196584949,759.9064,273.325,513.2722655691762,498.07898,94.094,67.67,85.78541155866888,15.997,14.731,15.373384413309953,0.448827845101149,34.686,34.619,34.652907180385284
05082020_160556,6,95006,96287,"['Large curve R', 'Road sign #2', 'Gallery']",4.309563,-1.2449848999999997,1.4253817151373926,1.6731495292833605,12.124236999999999,8.101977999999999,9.991338265807963,0.8617101671939102,2.834735,-0.7469909,1.0813194180405932,0.7340485198065709,473,469,470.11787665886027,48.7252784,48.72439666,9.165975839,9.165120437,14.642129,11.352006,13.609906542154565,759.9064,273.325,508.54123785323975,482.59354,94.094,67.67,86.35487197501952,15.997,14.731,15.319362217017957,0.4513280117445059,34.686,34.619,34.65187041373927
05082020_160833,5,85796,90149,"['Sharp turn L', 'Steep descendent']",2.930503,-2.0494366000000004,0.1688624502609694,1.1504808189944942,12.334928,7.584830800000001,9.97080891304847,0.6010638398337722,2.7198130000000003,-3.3901896000000002,0.19989191858901909,1.088772710519345,480,465,471.3746841258902,48.72525131,48.72355108,9.166780648,9.164623537999999,18.464827,9.497628,13.15132805513439,1168.5604,437.23657000000003,795.825790181484,815.87366,135.46,83.82,96.95086239375144,7.497000000000001,6.31,6.649497128417183,0.2797674094729306,33.878,33.811,33.8491288766368
05082020_161455,1,47010,48804,"['Large curve R', 'Road sign #1', 'Steep descendent']",0.82360536,-1.8004397,-0.3079311757352321,0.4985651067089386,11.511322,7.603985000000001,10.011574570791517,0.6408747640016429,4.290409599999999,-2.4708161,-0.39949270255184116,0.9617701762330302,560,557,558.571906354515,48.72520111,48.72386873,9.073081945,9.070586314,21.563042000000003,12.69179,17.73334063154954,290.0002,236.17792999999998,261.7127666164973,261.7091,99.584,72.253,92.36963377926487,9.886000000000001,8.551,9.190566889632104,0.4332916598218235,31.836,31.599,31.71531772575246
05082020_161618,8,94650,96310,"['Large curve R', 'Road sign #2']",3.1028854999999997,-0.93852705,0.9797188727632588,1.024706399663605,12.660539,7.1826053,10.026928252530185,0.9150011907211907,2.8538885,-1.8962077000000002,0.5399588296566208,1.1680448927606082,473,468,470.2253012048193,48.72524501,48.72426053,9.16616685,9.165001033,18.043114000000003,9.282909,12.755898349096531,750.9594,442.44608,563.4898602650613,530.5567599999999,157.358,83.59200000000001,91.08015783132497,8.006,7.468,7.721115662650605,0.17693493765879015,28.644000000000002,28.576,28.605503614457987
